146 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 10.3.0.32 , 10.50.23.79 , UDP , 53 , 53363 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
305 , 10:7b:44:2e:f3:d , 48:45:20:44:0:9d , IPv4 , 10.50.23.158 , 10.50.23.255 , UDP , 54915 , 54915 
2734 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
4074 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
103 , 38:2c:4a:2c:53:de , 48:45:20:44:0:9d , IPv4 , 10.50.20.247 , 224.0.0.251 , UDP , 5353 , 5353 
85 , 30:e3:7a:1:f4:50 , 48:45:20:44:0:9d , IPv6 , 0.0.0.0 , 1.72.237.39 , Unknown/Not Supported , 36141 , 18442 
65 , 30:e3:7a:1:f4:50 , 48:45:20:44:0:9d , IPv4 , 10.50.23.200 , 224.0.0.252 , UDP , 49524 , 5355 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
66 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
66 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
66 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
66 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
66 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
66 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
66 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
66 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
66 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
2734 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
66 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
66 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
2734 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
2734 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
4074 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
2734 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
2734 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
60 , 2c:e:3d:82:5f:da , 48:45:20:44:0:9d , ARP , 95.218.10.50 , 20.244.0.0 , Unknown/Not Supported , 0 , 0 
103 , 38:2c:4a:2c:53:de , 48:45:20:44:0:9d , IPv4 , 10.50.20.247 , 224.0.0.251 , UDP , 5353 , 5353 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
157 , 3c:f8:62:71:93:dc , 48:45:20:44:0:9d , IPv6 , 0.0.0.0 , 176.59.227.68 , Unknown/Not Supported , 38610 , 61 
82 , 3c:f8:62:71:93:dc , 48:45:20:44:0:9d , IPv4 , 10.50.23.231 , 224.0.0.251 , UDP , 5353 , 5353 
216 , 3c:f8:62:71:93:dc , 48:45:20:44:0:9d , IPv4 , 10.50.23.231 , 239.255.255.250 , UDP , 52181 , 1900 
102 , 3c:f8:62:71:93:dc , 48:45:20:44:0:9d , IPv6 , 0.0.0.0 , 176.59.227.68 , Unknown/Not Supported , 38610 , 61 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
2734 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
2734 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
2734 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
2734 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
2734 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
2734 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
4074 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
2734 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
4074 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
4074 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
5414 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
2734 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
5414 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
2734 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
5414 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
2734 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
5414 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
2734 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
5414 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
319 , 3c:f8:62:71:93:dc , 48:45:20:44:0:9d , IPv4 , 10.50.23.231 , 224.0.0.251 , UDP , 5353 , 5353 
5414 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
63 , 2c:60:c:eb:54:aa , 48:45:20:44:0:9d , IPv4 , 10.50.23.162 , 10.50.23.255 , UDP , 55458 , 32412 
76 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 10.20.1.22 , UDP , 53363 , 53 
76 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 10.20.1.22 , UDP , 53363 , 53 
74 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.136.94 , TCP , 50466 , 443 
63 , 2c:60:c:eb:54:aa , 48:45:20:44:0:9d , IPv4 , 10.50.23.162 , 10.50.23.255 , UDP , 55459 , 32414 
305 , 10:7b:44:2e:f3:d , 48:45:20:44:0:9d , IPv4 , 10.50.23.158 , 10.50.23.255 , UDP , 54915 , 54915 
60 , a0:32:99:4d:8f:7e , 48:45:20:44:0:9d , ARP , 143.126.10.50 , 23.110.0.0 , Unknown/Not Supported , 0 , 0 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
66 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
66 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
5414 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
66 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
2734 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
471 , 3c:f8:62:71:93:dc , 48:45:20:44:0:9d , IPv4 , 10.50.23.231 , 224.0.0.251 , UDP , 5353 , 5353 
167 , 2c:33:61:68:c9:46 , 48:45:20:44:0:9d , IPv4 , 10.50.20.228 , 239.255.255.250 , UDP , 51377 , 1900 
1394 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
5414 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.158.92 , 10.50.23.79 , TCP , 443 , 49266 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 74.125.158.92 , TCP , 49266 , 443 
92 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 10.20.1.22 , 10.50.23.79 , UDP , 53 , 53363 
104 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 10.20.1.22 , 10.50.23.79 , UDP , 53 , 53363 
66 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 74.125.136.94 , 10.50.23.79 , TCP , 443 , 50466 
